Date,Tournament,Opponent,Overs,Maidens,Runs,Wickets,Wides,No Balls,Innings,Position,Scorecard,Player Name,Player ID,Stat Type,Team
2024-09-08,Pro40 2024,New England Royals,3.0,0,16,0,0,0,2,8,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2024-06-15,Pro40 2024,NECC Dragons,4.0,0,40,1,1,0,1,4,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2024-06-08,Pro40 2024,Boston Gymkhana S.C. - F1,0.3,0,0,1,0,0,1,6,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2024-04-28,Pro40 2024,UCC - Rockers,8.0,0,33,2,4,0,1,4,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2023-07-09,Pro40 2023,NECC Stallions,5.0,0,33,2,3,2,2,5,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2023-06-18,Pro40 2023,Lagaan Tigers,1.0,0,2,1,1,0,1,6,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2023-05-13,Pro40 2023,Challengers Cricket Club B,2.0,0,8,1,0,0,1,6,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2022-10-02,ProT20 2022,Hoysala Conquerors - T20,1.0,0,10,0,0,1,2,6,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2022-10-01,ProT20 2022,NECC A,3.0,0,25,1,0,0,1,5,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2022-08-07,Pro40 2022,East Coast Cricket Club 1st XI,5.0,0,33,2,5,0,2,7,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2022-07-09,Pro40 2022,Mass CC Thunders,1.0,0,10,0,0,0,1,6,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2022-05-22,Pro40 2022,Lowell Eagles,0.5,0,2,1,1,0,2,7,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2022-04-30,Pro40 2022,Hoysala Knights,8.0,0,40,2,7,0,1,6,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2021-06-05,Pro40 2021,Mass CC Thunders,4.0,0,39,1,0,1,1,6,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2019-08-10,Pro40 2019,Bengal Tiger,2.0,0,15,0,0,0,2,4,Scorecard,Amey Bhivshet,dc438d4694780bb7a635ae21,bowling,Huskies Cricket Club
2024-10-06,ProT20 2024,NECC A,2.0,0,15,0,2,0,2,1,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-10-05,ProT20 2024,Boston Gymkhana S.C. - Lions,4.0,0,19,2,1,3,1,6,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-09-14,Pro40 2024,United Athletic Association,8.0,0,37,1,6,2,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-09-08,Pro40 2024,New England Royals,5.0,1,51,0,5,0,2,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-09-07,ProT20 2024,Ocean State Smashers,3.0,0,22,2,1,0,1,1,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-08-03,Pro40 2024,MCC MathHeads,7.2,0,30,2,9,0,2,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-07-28,Pro40 2024,United Athletic Association,4.0,0,11,1,4,0,2,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-07-20,Pro40 2024,Commonwealth Lagaan A,5.5,1,30,1,8,0,2,1,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-06-22,Pro40 2024,Boston Rebels Strikers,5.0,0,16,2,7,0,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-06-15,Pro40 2024,NECC Dragons,7.0,0,32,2,4,0,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-06-08,Pro40 2024,Boston Gymkhana S.C. - F1,4.0,0,27,1,0,0,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-06-01,Pro40 2024,Boston Bulls - Spartans,4.0,0,34,1,4,1,2,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-05-18,Pro40 2024,Cavaliers CC B,6.0,2,16,2,2,0,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-05-12,Pro40 2024,NECC Hawks,3.0,0,9,0,5,0,2,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-05-04,Pro40 2024,New England Royals,7.0,1,16,3,2,0,2,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2024-04-28,Pro40 2024,UCC - Rockers,8.0,0,48,1,4,0,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2023-10-07,Pro T20 2023,Boston Bulls - The Eleven,1.0,0,12,0,0,0,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2023-10-01,Pro T20 2023,NECC A,1.0,0,12,0,0,0,2,4,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2023-09-23,Pro T20 2023,MVCC Mustangs,2.0,0,23,0,0,0,2,5,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2023-09-23,Pro T20 2023,Lagaan Lions XI,3.5,0,27,2,6,0,1,1,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2023-09-16,Pro40 2023,United Athletic Association,4.0,0,25,1,5,1,1,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
2023-08-27,Pro40 2023,West Indian United C.C.,5.0,1,22,2,5,1,2,2,Scorecard,Prajwal Parlawar,6d91da7fcf5eb056405a8b01,bowling,Huskies Cricket Club
